neg,pos,neu,compound
0.0,0.444,0.556,0.6808
0.318,0.0,0.682,-0.4215
0.293,0.0,0.707,-0.3595
0.0,0.0,1.0,0.0
0.292,0.0,0.708,-0.5106
0.0,0.252,0.748,0.4019
0.235,0.243,0.522,0.0258
0.0,0.0,1.0,0.0
0.169,0.292,0.538,0.3818
0.205,0.454,0.341,0.4926
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.478,0.0,0.522,-0.6696
0.0,0.238,0.762,0.3612
0.0,0.0,1.0,0.0
0.0,0.277,0.723,0.3182
0.0,0.259,0.741,0.2732
0.0,0.0,1.0,0.0
0.462,0.0,0.538,-0.7184
0.362,0.402,0.236,0.128
0.244,0.311,0.444,0.2263
0.432,0.0,0.568,-0.5859
0.554,0.0,0.446,-0.7351
0.0,0.327,0.673,0.5267
0.0,0.342,0.658,0.3818
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.661,0.339,0.9136
0.0,0.545,0.455,0.802
0.0,0.217,0.783,0.3612
0.0,0.0,1.0,0.0
0.263,0.0,0.737,-0.3612
0.202,0.293,0.505,0.2263
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.207,0.215,0.579,0.0258
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.286,0.0,0.714,-0.4215
0.0,0.0,1.0,0.0
0.167,0.0,0.833,-0.1531
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.346,0.654,0.5719
0.0,0.375,0.625,0.6369
0.0,0.0,1.0,0.0
0.0,0.351,0.649,0.4019
0.0,0.0,1.0,0.0
0.0,0.318,0.682,0.4215
0.0,0.0,1.0,0.0
0.239,0.0,0.761,-0.296
0.353,0.266,0.38,-0.1531
0.342,0.307,0.351,-0.1027
0.0,0.326,0.674,0.5949
0.0,0.597,0.403,0.8126
0.0,0.281,0.719,0.4101
0.0,0.0,1.0,0.0
0.0,0.655,0.345,0.8225
0.278,0.2,0.522,-0.2263
0.0,0.348,0.652,0.4939
0.244,0.0,0.756,-0.3089
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.326,0.674,0.4404
0.499,0.0,0.501,-0.7156
0.0,0.316,0.684,0.5719
0.0,0.577,0.423,0.6659
0.169,0.292,0.538,0.3818
0.0,0.314,0.686,0.4939
0.0,0.0,1.0,0.0
0.0,0.18,0.82,0.0258
0.0,0.3,0.7,0.4588
0.0,0.0,1.0,0.0
0.0,0.31,0.69,0.4019
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.222,0.778,0.25
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.294,0.706,0.3612
0.0,0.0,1.0,0.0
0.207,0.393,0.4,0.4215
0.0,0.0,1.0,0.0
0.286,0.0,0.714,-0.25
0.0,0.5,0.5,0.6124
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.23,0.41,0.36,0.3612
0.149,0.0,0.851,-0.1027
0.0,0.0,1.0,0.0
0.254,0.0,0.746,-0.1779
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.259,0.0,0.741,-0.2732
0.0,0.412,0.588,0.6369
0.0,0.0,1.0,0.0
0.0,0.247,0.753,0.3182
0.0,0.0,1.0,0.0
0.374,0.0,0.626,-0.4574
0.0,0.0,1.0,0.0
0.0,0.39,0.61,0.4939
0.0,0.245,0.755,0.2382
0.355,0.242,0.403,-0.1027
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.231,0.769,0.2023
0.327,0.0,0.673,-0.5975
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.263,0.0,0.737,-0.3612
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.341,0.659,0.3804
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.318,0.0,0.682,-0.4215
0.117,0.301,0.583,0.4404
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.307,0.693,0.4767
0.0,0.42,0.58,0.4404
0.0,0.0,1.0,0.0
0.286,0.0,0.714,-0.34
0.0,0.0,1.0,0.0
0.31,0.0,0.69,-0.2023
0.0,0.439,0.561,0.5719
0.348,0.0,0.652,-0.4939
0.0,0.159,0.841,0.1779
0.0,0.541,0.459,0.7096
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.286,0.714,0.4215
0.0,0.0,1.0,0.0
0.252,0.0,0.748,-0.4019
0.0,0.34,0.66,0.5574
0.0,0.0,1.0,0.0
0.0,0.36,0.64,0.6696
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.302,0.698,0.3818
0.0,0.0,1.0,0.0
0.478,0.0,0.522,-0.6705
0.0,0.0,1.0,0.0
0.0,0.333,0.667,0.4588
0.0,0.0,1.0,0.0
0.0,0.28,0.72,0.5423
0.219,0.234,0.547,0.0516
0.263,0.0,0.737,-0.3612
0.578,0.127,0.294,-0.6808
0.0,0.0,1.0,0.0
0.271,0.0,0.729,-0.3818
0.288,0.232,0.48,-0.1779
0.559,0.0,0.441,-0.765
0.0,0.0,1.0,0.0
0.0,0.478,0.522,0.6705
0.0,0.568,0.432,0.836
0.387,0.0,0.613,-0.5837
0.0,0.344,0.656,0.2732
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.367,0.633,0.4404
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.556,0.444,0.6124
0.0,0.294,0.706,0.3612
0.0,0.0,1.0,0.0
0.0,0.342,0.658,0.3818
0.333,0.0,0.667,-0.3612
0.481,0.0,0.519,-0.5719
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.286,0.0,0.714,-0.34
0.0,0.333,0.667,0.3612
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.479,0.189,0.332,-0.7971
0.255,0.0,0.745,-0.34
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.263,0.737,0.3612
0.0,0.277,0.723,0.3182
0.0,0.537,0.463,0.7003
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.279,0.0,0.721,-0.4767
0.0,0.342,0.658,0.3818
0.25,0.0,0.75,-0.25
0.167,0.0,0.833,-0.1531
0.221,0.0,0.779,-0.1779
0.0,0.286,0.714,0.4215
0.0,0.56,0.44,0.6249
0.183,0.0,0.817,-0.2003
0.0,0.293,0.707,0.4404
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.615,0.385,0.75
0.279,0.337,0.385,0.1531
0.0,0.425,0.575,0.5719
0.0,0.0,1.0,0.0
0.0,0.285,0.715,0.4926
0.0,0.288,0.712,0.501
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.292,0.708,0.5106
0.0,0.438,0.562,0.5994
0.245,0.0,0.755,-0.4436
0.0,0.355,0.645,0.5106
0.0,0.355,0.645,0.5106
0.0,0.0,1.0,0.0
0.118,0.294,0.588,0.4215
0.259,0.0,0.741,-0.2732
0.0,0.0,1.0,0.0
0.0,0.352,0.648,0.5859
0.0,0.0,1.0,0.0
0.383,0.0,0.617,-0.4767
0.0,0.0,1.0,0.0
0.359,0.0,0.641,-0.4215
0.242,0.274,0.484,0.1027
0.0,0.333,0.667,0.4588
0.195,0.0,0.805,-0.1779
0.0,0.452,0.548,0.5106
0.0,0.587,0.413,0.7964
0.25,0.0,0.75,-0.25
0.0,0.259,0.741,0.4199
0.0,0.505,0.495,0.6249
0.0,0.0,1.0,0.0
0.339,0.322,0.339,-0.0258
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.432,0.568,0.5859
0.0,0.672,0.328,0.8478
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.273,0.727,0.4588
0.0,0.505,0.495,0.6249
0.0,0.184,0.816,0.2023
0.0,0.0,1.0,0.0
0.18,0.328,0.492,0.2023
0.0,0.252,0.748,0.4019
0.0,0.697,0.303,0.7096
0.0,0.213,0.787,0.2263
0.0,0.352,0.648,0.5859
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.394,0.606,0.4404
0.0,0.0,1.0,0.0
0.2,0.379,0.421,0.4019
0.0,0.238,0.762,0.3612
0.0,0.0,1.0,0.0
0.549,0.205,0.246,-0.6369
0.0,0.0,1.0,0.0
0.0,0.582,0.418,0.7876
0.0,0.3,0.7,0.4588
0.0,0.238,0.762,0.3612
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.327,0.673,0.5267
0.0,0.0,1.0,0.0
0.293,0.0,0.707,-0.4404
0.0,0.0,1.0,0.0
0.309,0.301,0.39,-0.0252
0.565,0.0,0.435,-0.8316
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.355,0.0,0.645,-0.5106
0.0,0.0,1.0,0.0
0.0,0.359,0.641,0.4215
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.31,0.0,0.69,-0.5574
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.371,0.261,0.368,-0.3605
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.286,0.384,0.33,0.2225
0.0,0.293,0.707,0.4404
0.239,0.0,0.761,-0.296
0.0,0.367,0.633,0.4404
0.0,0.487,0.513,0.5859
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.277,0.723,0.3182
0.0,0.342,0.658,0.3818
0.316,0.0,0.684,-0.5009
0.0,0.0,1.0,0.0
0.0,0.444,0.556,0.6114
0.0,0.456,0.544,0.6361
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.344,0.656,0.6369
0.0,0.0,1.0,0.0
0.275,0.308,0.417,0.1027
0.0,0.0,1.0,0.0
0.0,0.231,0.769,0.2023
0.381,0.0,0.619,-0.5719
0.0,0.277,0.723,0.3182
0.0,0.0,1.0,0.0
0.0,0.63,0.37,0.7783
0.0,0.0,1.0,0.0
0.0,0.277,0.723,0.3182
0.0,0.0,1.0,0.0
0.0,0.265,0.735,0.5023
0.0,0.25,0.75,0.25
0.168,0.364,0.467,0.4767
0.0,0.195,0.805,0.1779
0.0,0.0,1.0,0.0
0.0,0.277,0.723,0.3182
0.0,0.0,1.0,0.0
0.0,0.487,0.513,0.6908
0.0,0.294,0.706,0.3612
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.222,0.778,0.25
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.296,0.0,0.704,-0.2732
0.0,0.49,0.51,0.5859
0.0,0.412,0.588,0.6369
0.0,0.0,1.0,0.0
0.0,0.208,0.792,0.2732
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.277,0.723,0.3182
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.278,0.722,0.4019
0.0,0.222,0.778,0.25
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.222,0.0,0.778,-0.25
0.277,0.0,0.723,-0.3182
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.167,0.0,0.833,-0.0516
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.238,0.762,0.3612
0.0,0.0,1.0,0.0
0.0,0.42,0.58,0.4404
0.314,0.0,0.686,-0.296
0.263,0.0,0.737,-0.3595
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.363,0.637,0.6115
0.0,0.0,1.0,0.0
0.182,0.288,0.53,0.34
0.462,0.0,0.538,-0.5106
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.652,0.348,0.8176
0.0,0.343,0.657,0.5706
0.387,0.0,0.613,-0.4184
0.0,0.0,1.0,0.0
0.197,0.264,0.538,0.1883
0.411,0.0,0.589,-0.6344
0.0,0.0,1.0,0.0
0.0,0.186,0.814,0.1531
0.0,0.0,1.0,0.0
0.222,0.0,0.778,-0.25
0.0,0.0,1.0,0.0
0.0,0.333,0.667,0.4588
0.0,0.0,1.0,0.0
0.0,0.326,0.674,0.5256
0.0,0.444,0.556,0.6808
0.318,0.0,0.682,-0.4215
0.293,0.0,0.707,-0.3595
0.0,0.0,1.0,0.0
0.292,0.0,0.708,-0.5106
0.0,0.252,0.748,0.4019
0.235,0.243,0.522,0.0258
0.0,0.0,1.0,0.0
0.169,0.292,0.538,0.3818
0.205,0.454,0.341,0.4926
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.478,0.0,0.522,-0.6696
0.0,0.238,0.762,0.3612
0.0,0.0,1.0,0.0
0.0,0.277,0.723,0.3182
0.0,0.259,0.741,0.2732
0.0,0.0,1.0,0.0
0.462,0.0,0.538,-0.7184
0.362,0.402,0.236,0.128
0.244,0.311,0.444,0.2263
0.432,0.0,0.568,-0.5859
0.554,0.0,0.446,-0.7351
0.0,0.327,0.673,0.5267
0.0,0.342,0.658,0.3818
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.661,0.339,0.9136
0.0,0.545,0.455,0.802
0.0,0.217,0.783,0.3612
0.0,0.0,1.0,0.0
0.263,0.0,0.737,-0.3612
0.202,0.293,0.505,0.2263
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.207,0.215,0.579,0.0258
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.286,0.0,0.714,-0.4215
0.0,0.0,1.0,0.0
0.167,0.0,0.833,-0.1531
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.346,0.654,0.5719
0.0,0.375,0.625,0.6369
0.0,0.0,1.0,0.0
0.0,0.351,0.649,0.4019
0.0,0.0,1.0,0.0
0.0,0.318,0.682,0.4215
0.0,0.0,1.0,0.0
0.239,0.0,0.761,-0.296
0.353,0.266,0.38,-0.1531
0.342,0.307,0.351,-0.1027
0.0,0.326,0.674,0.5949
0.0,0.597,0.403,0.8126
0.0,0.281,0.719,0.4101
0.0,0.0,1.0,0.0
0.0,0.655,0.345,0.8225
0.278,0.2,0.522,-0.2263
0.0,0.348,0.652,0.4939
0.244,0.0,0.756,-0.3089
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.326,0.674,0.4404
0.499,0.0,0.501,-0.7156
0.0,0.316,0.684,0.5719
0.0,0.577,0.423,0.6659
0.169,0.292,0.538,0.3818
0.0,0.314,0.686,0.4939
0.0,0.0,1.0,0.0
0.0,0.18,0.82,0.0258
0.0,0.3,0.7,0.4588
0.0,0.0,1.0,0.0
0.0,0.31,0.69,0.4019
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.222,0.778,0.25
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.294,0.706,0.3612
0.0,0.0,1.0,0.0
0.207,0.393,0.4,0.4215
0.0,0.0,1.0,0.0
0.286,0.0,0.714,-0.25
0.0,0.5,0.5,0.6124
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.23,0.41,0.36,0.3612
0.149,0.0,0.851,-0.1027
0.0,0.0,1.0,0.0
0.254,0.0,0.746,-0.1779
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.259,0.0,0.741,-0.2732
0.0,0.412,0.588,0.6369
0.0,0.0,1.0,0.0
0.0,0.247,0.753,0.3182
0.0,0.0,1.0,0.0
0.374,0.0,0.626,-0.4574
0.0,0.0,1.0,0.0
0.0,0.39,0.61,0.4939
0.0,0.245,0.755,0.2382
0.355,0.242,0.403,-0.1027
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.231,0.769,0.2023
0.327,0.0,0.673,-0.5975
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.263,0.0,0.737,-0.3612
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.341,0.659,0.3804
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.318,0.0,0.682,-0.4215
0.117,0.301,0.583,0.4404
0.0,0.0,1.0,0.0
0.0,0.412,0.588,0.6369
0.0,0.374,0.626,0.3382
0.0,0.412,0.588,0.6369
0.397,0.0,0.603,-0.5095
0.286,0.0,0.714,-0.34
0.219,0.0,0.781,-0.1027
0.0,0.314,0.686,0.4939
0.0,0.247,0.753,0.3182
0.0,0.359,0.641,0.7227
0.419,0.0,0.581,-0.7579
0.0,0.383,0.617,0.4767
0.246,0.344,0.41,0.296
0.314,0.0,0.686,-0.4939
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.352,0.0,0.648,-0.5859
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.541,0.459,0.7096
0.0,0.0,1.0,0.0
0.0,0.273,0.727,0.4588
0.0,0.412,0.588,0.6369
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.253,0.287,0.46,0.0772
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.34,0.283,0.377,-0.1531
0.0,0.221,0.779,0.1779
0.254,0.0,0.746,-0.1779
0.0,0.0,1.0,0.0
0.562,0.124,0.314,-0.7641
0.0,0.0,1.0,0.0
0.134,0.361,0.504,0.4019
0.0,0.259,0.741,0.2732
0.0,0.0,1.0,0.0
0.0,0.362,0.638,0.34
0.0,0.318,0.682,0.4215
